"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 24, 2022","10.6700","11.4300","11.4300","9.5400","3.98M","-6.57%"
"Jan 23, 2022","11.4200","11.1500","11.9100","10.8300","2.36M","2.42%"
"Jan 22, 2022","11.1500","12.6300","12.9800","10.4200","4.56M","-12.00%"
"Jan 21, 2022","12.6700","14.4500","14.6700","12.3400","2.86M","-12.50%"
"Jan 20, 2022","14.4800","15.1700","16.1700","14.4100","1.32M","-4.23%"
"Jan 19, 2022","15.1200","15.9800","16.2100","15.1200","1.15M","-5.50%"
"Jan 18, 2022","16.0000","16.6500","17.6900","15.6300","2.16M","-3.85%"
"Jan 17, 2022","16.6400","17.8400","17.9600","16.2500","1.63M","-6.62%"
"Jan 16, 2022","17.8200","16.4700","18.1500","16.3100","1.88M","8.13%"
"Jan 15, 2022","16.4800","15.8600","16.7000","15.7200","1.10M","3.91%"
"Jan 14, 2022","15.8600","15.4600","15.9500","15.1600","959.74K","2.79%"
"Jan 13, 2022","15.4300","16.2500","16.5900","15.4000","1.41M","-5.22%"
"Jan 12, 2022","16.2800","15.9700","16.6100","15.9600","1.25M","2.01%"
"Jan 11, 2022","15.9600","15.1200","16.3000","14.9800","1.71M","5.56%"
"Jan 10, 2022","15.1200","15.7600","16.4400","14.6700","2.52M","-4.30%"
"Jan 09, 2022","15.8000","14.9200","16.2900","14.8100","1.33M","5.83%"
"Jan 08, 2022","14.9300","15.7700","16.1900","14.5500","1.53M","-5.09%"
"Jan 07, 2022","15.7300","17.0700","17.1600","15.2900","2.77M","-7.96%"
"Jan 06, 2022","17.0900","17.1000","17.2600","16.1200","2.68M","-0.12%"
"Jan 05, 2022","17.1100","18.2000","19.8400","16.3400","4.46M","-6.09%"
"Jan 04, 2022","18.2200","18.4700","19.1400","17.7100","2.35M","-1.25%"
"Jan 03, 2022","18.4500","18.4100","19.1600","17.8700","2.38M","0.22%"
"Jan 02, 2022","18.4100","17.4900","18.4900","17.0500","1.24M","5.38%"
"Jan 01, 2022","17.4700","17.0200","17.5400","16.9500","1.24M","2.64%"
"Dec 31, 2021","17.0200","17.8000","18.6400","16.7700","2.20M","-4.38%"
"Dec 30, 2021","17.8000","17.1200","17.8800","16.7600","1.61M","3.91%"
"Dec 29, 2021","17.1300","18.4100","19.4500","16.9400","3.64M","-6.80%"
"Dec 28, 2021","18.3800","19.1300","19.9200","17.7700","4.01M","-3.72%"
"Dec 27, 2021","19.0900","18.6800","20.0700","18.5500","2.68M","2.36%"
"Dec 26, 2021","18.6500","17.4600","18.7800","16.7200","1.84M","6.82%"
"Dec 25, 2021","17.4600","17.4900","17.8400","17.0900","1.22M","-0.11%"
"Dec 24, 2021","17.4800","18.1700","18.2700","17.2500","2.30M","-3.74%"
"Dec 23, 2021","18.1600","16.2200","18.2500","15.9200","4.14M","11.89%"
"Dec 22, 2021","16.2300","15.0500","16.3500","14.9700","2.47M","7.70%"
"Dec 21, 2021","15.0700","14.5100","15.1000","14.3200","1.10M","4.00%"
"Dec 20, 2021","14.4900","14.9400","15.1600","13.9800","1.82M","-3.14%"
"Dec 19, 2021","14.9600","15.5700","15.9600","14.8400","1.59M","-3.98%"
"Dec 18, 2021","15.5800","14.9700","16.1000","14.6800","2.70M","3.87%"
"Dec 17, 2021","15.0000","14.4100","15.0900","13.7000","1.79M","4.09%"
"Dec 16, 2021","14.4100","15.1900","15.3700","14.3600","2.16M","-5.07%"
