"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2022","1,798.50","1,801.20","2,062.00","1,619.90","10.15K","-0.24%"
"Jan 21, 2022","1,802.90","1,904.90","1,918.40","1,701.20","3.45K","-5.35%"
"Jan 20, 2022","1,904.90","1,995.40","2,060.90","1,895.70","0.86K","-4.50%"
"Jan 19, 2022","1,994.70","2,061.10","2,066.60","1,993.30","1.09K","-3.21%"
"Jan 18, 2022","2,060.80","2,094.20","2,122.90","2,030.00","0.90K","-1.62%"
"Jan 17, 2022","2,094.80","2,255.90","2,270.70","2,072.40","0.83K","-7.15%"
"Jan 16, 2022","2,256.00","2,212.50","2,260.00","2,181.00","0.48K","1.99%"
"Jan 15, 2022","2,212.00","2,193.50","2,240.90","2,167.00","0.62K","0.84%"
"Jan 14, 2022","2,193.50","2,097.00","2,199.50","2,082.10","1.27K","4.60%"
"Jan 13, 2022","2,097.00","2,169.20","2,199.70","2,076.10","1.39K","-3.30%"
"Jan 12, 2022","2,168.60","2,077.00","2,181.40","2,037.80","1.24K","4.41%"
"Jan 11, 2022","2,077.10","1,985.60","2,086.50","1,973.50","0.92K","4.51%"
"Jan 10, 2022","1,987.50","2,122.10","2,146.40","1,937.70","1.43K","-6.31%"
"Jan 09, 2022","2,121.30","2,049.90","2,160.90","2,033.80","0.73K","3.53%"
"Jan 08, 2022","2,049.00","2,133.00","2,185.80","1,999.30","1.62K","-3.73%"
"Jan 07, 2022","2,128.40","2,244.60","2,252.40","2,104.40","1.97K","-5.23%"
"Jan 06, 2022","2,245.90","2,237.70","2,349.90","2,115.40","2.68K","0.51%"
"Jan 05, 2022","2,234.40","2,446.20","2,522.10","2,176.80","1.69K","-8.63%"
"Jan 04, 2022","2,445.40","2,390.40","2,540.80","2,354.80","1.42K","2.33%"
"Jan 03, 2022","2,389.80","2,467.60","2,594.20","2,376.00","1.64K","-3.21%"
"Jan 02, 2022","2,469.10","2,421.30","2,531.40","2,327.60","1.49K","1.94%"
"Jan 01, 2022","2,422.10","2,334.10","2,447.40","2,322.40","1.28K","3.77%"
"Dec 31, 2021","2,334.10","2,393.70","2,448.60","2,292.30","1.42K","-2.57%"
"Dec 30, 2021","2,395.60","2,359.70","2,460.40","2,297.10","1.32K","1.61%"
"Dec 29, 2021","2,357.60","2,492.10","2,571.80","2,336.20","1.46K","-5.40%"
"Dec 28, 2021","2,492.10","2,684.50","2,707.60","2,474.20","1.19K","-7.17%"
"Dec 27, 2021","2,684.50","2,682.60","2,804.50","2,668.40","1.95K","0.08%"
"Dec 26, 2021","2,682.30","2,689.40","2,737.40","2,627.90","1.86K","-0.22%"
"Dec 25, 2021","2,688.30","2,568.10","2,731.20","2,552.20","0.88K","4.71%"
"Dec 24, 2021","2,567.30","2,677.40","2,687.80","2,542.40","1.67K","-4.05%"
"Dec 23, 2021","2,675.60","2,445.60","2,680.30","2,394.80","1.94K","9.40%"
"Dec 22, 2021","2,445.80","2,422.80","2,543.10","2,409.60","1.80K","0.99%"
"Dec 21, 2021","2,421.80","2,346.60","2,443.90","2,336.90","1.23K","3.28%"
"Dec 20, 2021","2,344.80","2,370.60","2,418.40","2,234.00","1.63K","-1.13%"
"Dec 19, 2021","2,371.60","2,472.70","2,507.70","2,366.00","1.05K","-4.11%"
"Dec 18, 2021","2,473.30","2,370.30","2,498.40","2,327.90","1.67K","4.40%"
"Dec 17, 2021","2,369.10","2,327.50","2,386.70","2,212.00","1.28K","1.82%"
"Dec 16, 2021","2,326.80","2,378.10","2,436.50","2,311.10","0.92K","-2.13%"
"Dec 15, 2021","2,377.40","2,304.30","2,420.90","2,205.70","1.35K","3.19%"
"Dec 14, 2021","2,304.00","2,229.30","2,320.20","2,166.00","1.42K","3.25%"
"Dec 13, 2021","2,231.50","2,468.00","2,480.30","2,203.80","1.34K","-9.59%"
"Dec 12, 2021","2,468.10","2,446.20","2,484.80","2,382.70","0.86K","1.00%"
"Dec 11, 2021","2,443.70","2,339.30","2,459.60","2,287.40","1.06K","4.59%"
"Dec 10, 2021","2,336.40","2,515.50","2,599.60","2,326.80","1.75K","-7.13%"
"Dec 09, 2021","2,515.90","2,745.90","2,756.40","2,499.70","1.88K","-8.18%"
"Dec 08, 2021","2,740.00","2,614.00","2,748.90","2,592.30","1.83K","4.72%"
"Dec 07, 2021","2,616.60","2,603.80","2,688.40","2,576.20","1.25K","0.36%"
"Dec 06, 2021","2,607.20","2,578.90","2,626.60","2,356.50","2.02K","1.07%"
"Dec 05, 2021","2,579.70","2,610.30","2,674.40","2,492.90","1.89K","-1.22%"
"Dec 04, 2021","2,611.60","2,750.10","2,758.30","2,261.40","5.05K","-5.07%"
"Dec 03, 2021","2,751.10","2,973.40","2,986.20","2,691.40","2.06K","-7.47%"
"Dec 02, 2021","2,973.10","2,974.70","3,043.40","2,900.30","1.28K","-0.14%"
"Dec 01, 2021","2,977.20","3,051.00","3,134.30","2,952.00","1.35K","-2.42%"
"Nov 30, 2021","3,050.90","3,085.10","3,224.00","2,966.90","2.75K","-1.09%"
"Nov 29, 2021","3,084.50","3,082.70","3,117.60","3,010.20","0.97K","0.10%"
"Nov 28, 2021","3,081.30","3,092.70","3,098.90","2,852.00","1.73K","-0.38%"
"Nov 27, 2021","3,093.00","3,096.20","3,202.30","3,017.40","1.39K","0.05%"
"Nov 26, 2021","3,091.40","3,304.30","3,415.50","2,940.80","3.15K","-6.47%"
"Nov 25, 2021","3,305.40","3,096.20","3,446.00","3,072.60","3.73K","6.73%"
"Nov 24, 2021","3,097.00","3,041.10","3,169.40","2,955.90","2.64K","1.84%"
"Nov 23, 2021","3,040.90","2,850.80","3,098.50","2,831.90","2.12K","6.62%"
"Nov 22, 2021","2,852.10","2,948.10","2,989.90","2,826.10","1.26K","-3.52%"
"Nov 21, 2021","2,956.30","3,125.20","3,143.70","2,935.20","1.61K","-5.45%"
"Nov 20, 2021","3,126.80","2,949.10","3,129.70","2,934.70","1.68K","6.05%"
"Nov 19, 2021","2,948.30","2,805.10","3,001.70","2,774.40","1.62K","5.17%"
"Nov 18, 2021","2,803.40","2,803.80","3,276.30","2,744.80","7.81K","-0.09%"
"Nov 17, 2021","2,806.00","2,810.60","2,829.00","2,667.50","2.03K","-0.16%"
"Nov 16, 2021","2,810.60","3,021.80","3,022.20","2,711.00","2.37K","-6.94%"
"Nov 15, 2021","3,020.30","3,050.80","3,159.10","2,972.20","2.06K","-1.01%"
"Nov 14, 2021","3,051.20","3,118.30","3,191.20","2,931.40","1.81K","-2.21%"
"Nov 13, 2021","3,120.30","2,879.50","3,188.70","2,877.70","4.46K","8.39%"
"Nov 12, 2021","2,878.90","2,989.00","3,010.60","2,791.70","2.00K","-3.73%"
"Nov 11, 2021","2,990.30","2,958.70","3,077.60","2,907.20","2.23K","0.91%"
"Nov 10, 2021","2,963.20","3,134.40","3,212.60","2,803.30","3.06K","-5.45%"
"Nov 09, 2021","3,134.10","3,300.90","3,301.50","3,097.10","2.65K","-5.13%"
