"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2021","8.3660","8.2300","8.6540","8.1510","4.61M","1.70%"
"Nov 22, 2021","8.2260","8.7630","8.7630","8.1270","5.67M","-5.88%"
"Nov 21, 2021","8.7400","9.0490","9.1640","8.6820","4.21M","-3.37%"
"Nov 20, 2021","9.0450","8.9990","9.2330","8.7060","3.94M","0.49%"
"Nov 19, 2021","9.0010","8.7910","9.3290","8.6400","4.07M","2.34%"
"Nov 18, 2021","8.7950","9.7450","10.1340","8.6340","8.82M","-9.74%"
"Nov 17, 2021","9.7440","9.6520","10.0780","9.5160","3.15M","1.03%"
"Nov 16, 2021","9.6450","10.3400","10.3400","9.1370","5.45M","-6.72%"
"Nov 15, 2021","10.3400","11.0520","11.2090","10.3270","3.53M","-6.42%"
"Nov 14, 2021","11.0490","11.1840","11.2990","10.7800","1.28M","-1.22%"
"Nov 13, 2021","11.1860","10.9780","11.2230","10.7110","1.91M","1.89%"
"Nov 12, 2021","10.9790","11.1400","11.3800","10.5660","2.68M","-1.46%"
"Nov 11, 2021","11.1420","11.0820","11.4070","10.9180","2.91M","0.22%"
"Nov 10, 2021","11.1180","11.9780","12.2620","10.5070","5.64M","-7.13%"
"Nov 09, 2021","11.9710","12.3020","12.4390","11.9600","2.98M","-2.71%"
"Nov 08, 2021","12.3040","12.0940","12.3240","11.9470","2.78M","1.85%"
"Nov 07, 2021","12.0810","11.8450","12.2580","11.5530","3.42M","2.11%"
"Nov 06, 2021","11.8310","12.1350","12.2110","11.3100","4.03M","-2.58%"
"Nov 05, 2021","12.1440","12.9400","13.2150","12.1340","3.06M","-6.34%"
"Nov 04, 2021","12.9660","13.4370","13.4370","12.0640","5.07M","-3.40%"
"Nov 03, 2021","13.4230","12.1280","13.4390","11.8850","7.56M","10.72%"
"Nov 02, 2021","12.1230","12.7530","12.8080","12.0770","5.26M","-4.78%"
"Nov 01, 2021","12.7320","10.8950","13.0970","10.5620","11.97M","17.41%"
"Oct 31, 2021","10.8440","11.0730","11.2800","10.5810","3.48M","-1.90%"
