Date,Price,Open,High,Low,Vol.,Change %
"Dec 28, 2021",252.3,277.16,296.4,252.3,484.10K,-8.97%
"Dec 27, 2021",277.16,267.84,293.1,265.71,261.66K,3.38%
"Dec 26, 2021",268.09,263.71,277.33,250.2,211.06K,1.57%
"Dec 25, 2021",263.96,270.35,278.8,257.51,241.50K,-2.24%
"Dec 24, 2021",270,246.89,278.42,243.28,431.52K,9.21%
"Dec 23, 2021",247.23,206.48,248.18,203.99,523.24K,19.73%
"Dec 22, 2021",206.48,186,216.01,185.8,342.59K,11.01%
"Dec 21, 2021",186,180.73,186.6,178.9,98.46K,2.95%
"Dec 20, 2021",180.68,183.31,186.11,167.41,124.54K,-1.44%
"Dec 19, 2021",183.31,193.11,193.2,182.5,107.44K,-5.16%
"Dec 18, 2021",193.28,186.79,201.49,183.29,452.18K,3.51%
"Dec 17, 2021",186.72,174.18,188.59,162,169.82K,7.20%
"Dec 16, 2021",174.18,173.2,180.99,172.21,94.61K,0.57%
"Dec 15, 2021",173.2,169.5,175.7,159.18,138.08K,2.18%
"Dec 14, 2021",169.5,162.3,170.22,158.61,98.48K,4.45%
"Dec 13, 2021",162.28,179.9,180.79,157.6,104.24K,-9.80%
"Dec 12, 2021",179.9,181.07,182.11,175.7,60.03K,-0.35%
"Dec 11, 2021",180.53,166.96,181,163.19,87.14K,8.12%
"Dec 10, 2021",166.96,176.76,181.19,166.62,149.32K,-5.74%
"Dec 09, 2021",177.13,202.9,203.7,176.5,149.67K,-12.70%
"Dec 08, 2021",202.9,186.9,202.9,179.79,180.80K,8.56%
"Dec 07, 2021",186.9,185.1,197.09,180.6,175.86K,0.97%
"Dec 06, 2021",185.1,191.59,191.79,168.49,315.31K,-3.39%
"Dec 05, 2021",191.59,203.17,205.72,186.91,118.01K,-5.71%
"Dec 04, 2021",203.19,225.98,226,160.43,434.40K,-10.08%
"Dec 03, 2021",225.98,244.8,246.01,218.01,106.92K,-7.69%
"Dec 02, 2021",244.8,250.7,250.71,240.71,81.11K,-2.36%
"Dec 01, 2021",250.7,256.48,268.8,249.19,121.71K,-2.26%
"Nov 30, 2021",256.5,249.79,263.81,244.59,166.86K,2.68%
"Nov 29, 2021",249.79,238.9,250.97,233.49,87.05K,4.56%
"Nov 28, 2021",238.9,232.73,238.9,218.79,82.65K,2.65%
"Nov 27, 2021",232.73,232.01,243.18,230.28,71.64K,0.31%
"Nov 26, 2021",232.01,263.07,263.7,226.08,206.28K,-11.65%
"Nov 25, 2021",262.61,254.49,263.89,252.2,132.35K,3.19%
