,Date,Price,Open,High,Low,Vol.,Change %,Vol
259,"Apr 16, 2021",441.30,466.11,469.74,420.81,,-5.35%,13.88K
260,"Apr 15, 2021",466.24,428.87,487.87,423.83,,8.71%,21.90K
261,"Apr 14, 2021",428.87,399.51,430.30,387.26,,7.35%,14.31K
262,"Apr 13, 2021",399.51,397.67,420.42,385.09,,0.52%,13.52K
263,"Apr 12, 2021",397.46,371.84,417.33,366.26,,6.89%,18.11K
264,"Apr 11, 2021",371.84,367.36,372.97,360.69,,1.22%,4.41K
265,"Apr 10, 2021",367.36,358.95,375.17,356.33,,2.34%,6.86K
266,"Apr 09, 2021",358.95,370.87,373.91,357.07,,-3.27%,4.29K
267,"Apr 08, 2021",371.08,348.72,371.13,346.69,,6.41%,6.34K
268,"Apr 07, 2021",348.72,383.33,387.00,341.09,,-9.03%,12.01K
269,"Apr 06, 2021",383.33,397.98,413.93,380.04,,-3.68%,8.37K
270,"Apr 05, 2021",397.98,403.42,408.27,383.66,,-1.35%,5.89K
271,"Apr 04, 2021",403.42,379.78,411.21,373.33,,6.22%,6.20K
272,"Apr 03, 2021",379.78,420.10,425.26,377.42,,-9.60%,7.62K
273,"Apr 02, 2021",420.10,382.07,421.99,377.51,,9.95%,8.09K
274,"Apr 01, 2021",382.07,382.48,393.08,371.44,,-0.11%,6.41K
275,"Mar 31, 2021",382.48,377.39,393.20,357.71,,1.34%,8.85K
276,"Mar 30, 2021",377.42,360.55,382.78,353.46,,4.68%,5.15K
277,"Mar 29, 2021",360.55,348.24,367.43,344.50,,3.53%,3.84K
278,"Mar 28, 2021",348.24,351.45,356.65,334.41,,-0.91%,4.55K
279,"Mar 27, 2021",351.45,358.08,361.78,339.68,,-1.85%,3.58K
280,"Mar 26, 2021",358.08,325.51,360.31,325.40,,10.01%,6.70K
281,"Mar 25, 2021",325.51,308.21,332.94,299.39,,5.39%,8.61K
282,"Mar 24, 2021",308.85,330.40,348.42,296.66,,-6.62%,6.41K
283,"Mar 23, 2021",330.75,336.28,345.09,326.27,,-1.64%,6.14K
284,"Mar 22, 2021",336.27,367.51,371.72,333.12,,-8.50%,6.04K
285,"Mar 21, 2021",367.51,370.08,375.81,360.05,,-0.67%,3.71K
286,"Mar 20, 2021",370.00,369.00,396.09,367.39,,0.17%,5.36K
287,"Mar 19, 2021",369.36,363.18,378.87,355.02,,1.70%,3.64K
288,"Mar 18, 2021",363.18,381.86,383.63,361.67,,-4.89%,4.22K
289,"Mar 17, 2021",381.86,370.01,382.99,358.30,,3.20%,4.22K
290,"Mar 16, 2021",370.01,367.48,376.47,350.89,,0.84%,6.17K
