"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 16, 2021","3.7065","3.9372","3.9372","3.2820","8.87M","-5.80%"
"Nov 15, 2021","3.9347","4.1259","4.1584","3.9000","2.45M","-4.64%"
"Nov 14, 2021","4.1261","4.2227","4.3699","4.0355","2.19M","-2.30%"
"Nov 13, 2021","4.2231","4.0303","4.3792","4.0303","4.00M","4.75%"
"Nov 12, 2021","4.0317","4.1657","4.2912","3.8837","5.28M","-3.34%"
"Nov 11, 2021","4.1710","4.0830","4.4197","4.0433","4.95M","1.87%"
"Nov 10, 2021","4.0945","4.5173","4.5929","3.7043","8.13M","-9.33%"
"Nov 09, 2021","4.5157","4.6378","4.9961","4.4392","6.94M","-2.58%"
"Nov 08, 2021","4.6352","4.4950","4.6740","4.3023","4.88M","3.22%"
"Nov 07, 2021","4.4907","4.1083","4.7431","4.0822","7.85M","9.36%"
"Nov 06, 2021","4.1063","4.0734","4.2879","3.8834","6.36M","0.59%"
"Nov 05, 2021","4.0821","4.1622","4.2195","4.0235","3.02M","-1.81%"
"Nov 04, 2021","4.1574","4.3971","4.5303","4.0585","4.40M","-4.75%"
"Nov 03, 2021","4.3646","4.2844","4.5936","4.0651","5.67M","2.15%"
"Nov 02, 2021","4.2726","4.5021","4.6300","4.2409","3.29M","-4.64%"
"Nov 01, 2021","4.4803","4.4268","4.5295","4.1793","3.89M","1.39%"
"Oct 31, 2021","4.4190","4.7391","4.7401","4.3013","3.65M","-6.22%"
"Oct 30, 2021","4.7121","4.6720","5.3141","4.5614","7.39M","1.10%"
"Oct 29, 2021","4.6607","4.7535","5.0071","4.5622","5.12M","-2.40%"
"Oct 28, 2021","4.7755","4.4459","5.4944","4.4459","16.75M","8.32%"
"Oct 27, 2021","4.4085","4.6395","4.7117","4.0421","10.86M","-4.94%"
"Oct 26, 2021","4.6374","4.7913","5.2762","4.5266","12.15M","-3.05%"
"Oct 25, 2021","4.7834","3.5022","4.8340","3.4849","17.73M","36.54%"
"Oct 24, 2021","3.5032","3.6917","3.9450","3.4570","6.00M","-5.17%"
"Oct 23, 2021","3.6940","3.3339","3.7846","3.1756","7.22M","10.92%"
"Oct 22, 2021","3.3303","2.8587","3.3696","2.8580","5.59M","16.57%"
"Oct 21, 2021","2.8570","2.9356","3.0551","2.8443","3.17M","-2.68%"
"Oct 20, 2021","2.9356","2.7926","2.9688","2.7916","3.75M","5.12%"
"Oct 19, 2021","2.7926","2.7958","2.8457","2.6824","2.24M","-0.11%"
"Oct 18, 2021","2.7958","2.8695","2.8744","2.7230","3.05M","-2.54%"
"Oct 17, 2021","2.8686","2.9111","2.9190","2.7289","2.27M","-1.26%"
"Oct 16, 2021","2.9051","2.8994","3.0775","2.8826","3.25M","0.25%"
"Oct 15, 2021","2.8979","2.8894","3.0135","2.8071","4.50M","0.29%"
"Oct 14, 2021","2.8894","2.9589","3.1466","2.8583","5.02M","-2.49%"
"Oct 13, 2021","2.9633","2.6860","2.9989","2.6531","6.29M","10.24%"
"Oct 12, 2021","2.6881","2.6979","2.7035","2.5215","3.16M","-0.36%"
"Oct 11, 2021","2.6979","2.7003","2.8104","2.6354","3.22M","-0.09%"
"Oct 10, 2021","2.7003","2.9082","2.9090","2.6819","2.82M","-7.00%"
"Oct 09, 2021","2.9035","2.9599","3.0947","2.8701","6.11M","-1.54%"
"Oct 08, 2021","2.9490","2.8138","2.9599","2.7500","4.46M","4.91%"
"Oct 07, 2021","2.8110","2.7376","2.8998","2.6524","4.88M","2.70%"
"Oct 06, 2021","2.7370","2.9375","2.9419","2.6265","6.03M","-6.76%"
"Oct 05, 2021","2.9353","2.8796","3.0330","2.7617","6.39M","1.86%"
"Oct 04, 2021","2.8817","2.8192","2.9057","2.6353","7.22M","2.36%"
"Oct 03, 2021","2.8152","2.5339","2.9584","2.4816","8.76M","10.92%"
"Oct 02, 2021","2.5380","2.5324","2.6510","2.4574","4.38M","0.11%"
"Oct 01, 2021","2.5351","2.3366","2.5576","2.2857","5.24M","8.50%"
"Sep 30, 2021","2.3366","2.2899","2.3983","2.2561","4.02M","2.08%"
"Sep 29, 2021","2.2889","2.2265","2.4008","2.2131","4.15M","2.62%"
"Sep 28, 2021","2.2305","2.3694","2.4156","2.2205","5.96M","-5.88%"
"Sep 27, 2021","2.3698","2.5418","2.7458","2.3603","12.13M","-7.26%"
"Sep 26, 2021","2.5554","2.3114","2.6111","2.0649","15.03M","10.56%"
"Sep 25, 2021","2.3114","2.4258","2.4795","2.2681","5.70M","-4.76%"
"Sep 24, 2021","2.4268","2.7864","2.7917","2.2500","15.28M","-12.94%"
"Sep 23, 2021","2.7875","2.4500","2.8317","2.3573","10.61M","13.72%"
"Sep 22, 2021","2.4511","2.2014","2.5197","2.1494","7.54M","11.91%"
"Sep 21, 2021","2.1902","2.4092","2.6591","2.1334","12.06M","-9.07%"
"Sep 20, 2021","2.4087","3.0447","3.1386","2.3500","15.57M","-20.79%"
"Sep 19, 2021","3.0409","2.8841","3.0910","2.6868","8.74M","5.55%"
"Sep 18, 2021","2.8809","2.8082","2.9727","2.6995","8.48M","2.79%"
"Sep 17, 2021","2.8027","3.1095","3.2319","2.7777","14.04M","-9.75%"
"Sep 16, 2021","3.1055","3.0129","3.4372","2.9273","19.98M","3.02%"
"Sep 15, 2021","3.0144","2.7989","3.1992","2.7185","16.58M","7.97%"
"Sep 14, 2021","2.7920","2.3591","2.8499","2.3572","18.76M","18.21%"
"Sep 13, 2021","2.3619","2.4228","2.4811","2.0497","9.78M","-2.88%"
"Sep 12, 2021","2.4319","2.2700","2.4319","2.2039","5.69M","7.15%"
"Sep 11, 2021","2.2696","2.1439","2.3295","2.1246","5.45M","5.95%"
"Sep 10, 2021","2.1421","2.3838","2.4742","2.0599","12.25M","-9.73%"
"Sep 09, 2021","2.3729","1.9876","2.4246","1.9128","11.47M","20.13%"
"Sep 08, 2021","1.9753","1.9949","2.0560","1.8235","7.77M","-0.15%"
"Sep 07, 2021","1.9782","2.4879","2.5003","1.6956","15.02M","-20.52%"
"Sep 06, 2021","2.4888","2.4818","2.6545","2.3626","10.55M","0.35%"
"Sep 05, 2021","2.4801","2.2713","2.5446","2.2472","10.43M","9.27%"
"Sep 04, 2021","2.2697","2.2105","2.3356","2.1875","5.34M","2.94%"
"Sep 03, 2021","2.2049","2.2047","2.2730","2.1654","4.18M","-0.00%"
"Sep 02, 2021","2.2050","2.3060","2.3077","2.2029","3.45M","-4.57%"
"Sep 01, 2021","2.3105","2.2334","2.3144","2.1616","5.51M","3.28%"
"Aug 31, 2021","2.2372","2.0977","2.3806","2.0449","11.81M","6.61%"
"Aug 30, 2021","2.0984","2.1042","2.2656","2.0265","9.41M","-0.19%"
"Aug 29, 2021","2.1024","2.0976","2.1653","2.0369","3.65M","0.43%"
