,Date,Price,Open,High,Low,Vol.,Change %,Vol
151,"Nov 01, 2021",2452.90,"2,423.80","2,541.50","2,347.70",,1.29%,4.00K
152,"Oct 31, 2021",2421.60,"2,379.40","2,425.20","2,326.50",,1.80%,2.76K
153,"Oct 30, 2021",2378.80,"2,452.80","2,474.00","2,353.30",,-2.87%,2.06K
154,"Oct 29, 2021",2449.20,"2,379.80","2,474.20","2,366.00",,2.93%,2.79K
155,"Oct 28, 2021",2379.50,"2,223.70","2,414.10","2,210.20",,7.01%,2.10K
156,"Oct 27, 2021",2223.70,"2,460.70","2,505.00","2,208.20",,-9.60%,4.94K
157,"Oct 26, 2021",2459.80,"2,473.90","2,560.80","2,438.30",,-0.55%,4.22K
158,"Oct 25, 2021",2473.30,"2,437.70","2,480.40","2,428.40",,1.39%,2.25K
159,"Oct 24, 2021",2439.30,"2,526.30","2,528.70","2,384.80",,-3.43%,2.13K
160,"Oct 23, 2021",2526.00,"2,518.80","2,544.10","2,491.00",,0.25%,1.12K
161,"Oct 22, 2021",2519.80,"2,570.80","2,623.60","2,499.20",,-2.02%,1.88K
162,"Oct 21, 2021",2571.70,"2,593.70","2,705.00","2,547.70",,-0.83%,3.41K
163,"Oct 20, 2021",2593.20,"2,491.60","2,598.00","2,460.60",,4.07%,2.18K
164,"Oct 19, 2021",2491.90,"2,508.60","2,525.50","2,444.30",,-0.67%,1.85K
165,"Oct 18, 2021",2508.60,"2,551.30","2,575.80","2,432.00",,-1.69%,2.18K
166,"Oct 17, 2021",2551.70,"2,596.00","2,635.50","2,475.60",,-1.59%,1.32K
167,"Oct 16, 2021",2592.90,"2,569.60","2,684.00","2,557.10",,0.92%,1.97K
168,"Oct 15, 2021",2569.20,"2,543.30","2,596.60","2,470.70",,1.06%,2.10K
169,"Oct 14, 2021",2542.30,"2,492.80","2,614.60","2,479.80",,1.97%,2.19K
170,"Oct 13, 2021",2493.10,"2,441.90","2,493.80","2,369.60",,2.20%,1.95K
171,"Oct 12, 2021",2439.50,"2,447.60","2,504.40","2,357.70",,-0.33%,2.83K
172,"Oct 11, 2021",2447.60,"2,457.10","2,559.70","2,396.10",,-0.39%,1.91K
173,"Oct 10, 2021",2457.10,"2,573.00","2,725.60","2,438.50",,-4.50%,4.51K
174,"Oct 09, 2021",2572.90,"2,498.60","2,621.40","2,469.30",,3.20%,2.31K
175,"Oct 08, 2021",2493.10,"2,499.60","2,577.20","2,458.30",,-0.19%,2.08K
176,"Oct 07, 2021",2497.80,"2,488.10","2,536.60","2,417.60",,0.38%,1.95K
177,"Oct 06, 2021",2488.40,"2,543.70","2,586.90","2,386.10",,-2.12%,2.70K
178,"Oct 05, 2021",2542.30,"2,548.30","2,591.70","2,481.40",,-0.22%,2.33K
179,"Oct 04, 2021",2547.80,"2,542.30","2,555.50","2,369.70",,0.22%,2.63K
180,"Oct 03, 2021",2542.30,"2,477.50","2,617.70","2,433.60",,2.60%,2.30K
181,"Oct 02, 2021",2477.90,"2,444.70","2,558.80","2,386.60",,1.41%,3.15K
182,"Oct 01, 2021",2443.50,"2,287.70","2,471.90","2,265.40",,6.77%,5.03K
183,"Sep 30, 2021",2288.50,"2,230.10","2,314.40","2,215.50",,2.60%,2.55K
184,"Sep 29, 2021",2230.50,"2,225.70","2,314.90","2,176.50",,0.09%,2.65K
185,"Sep 28, 2021",2228.60,"2,243.70","2,431.90","2,213.80",,-0.68%,4.49K
186,"Sep 27, 2021",2243.80,"2,350.20","2,424.60","2,235.10",,-4.67%,2.75K
187,"Sep 26, 2021",2353.70,"2,259.80","2,568.00","2,162.70",,4.14%,14.01K
188,"Sep 25, 2021",2260.20,"2,294.80","2,325.00","2,200.30",,-1.49%,1.65K
189,"Sep 24, 2021",2294.40,"2,488.30","2,505.20","2,155.70",,-7.84%,5.15K
190,"Sep 23, 2021",2489.50,"2,527.60","2,568.70","2,453.10",,-1.40%,3.18K
191,"Sep 22, 2021",2524.90,"2,290.90","2,542.30","2,262.80",,10.49%,1.79K
192,"Sep 21, 2021",2285.20,"2,436.50","2,540.70","2,228.20",,-6.18%,2.94K
193,"Sep 20, 2021",2435.80,"2,768.20","2,773.30","2,390.60",,-11.93%,4.62K
194,"Sep 19, 2021",2765.70,"2,839.00","2,875.80","2,725.10",,-2.61%,1.41K
195,"Sep 18, 2021",2839.70,"2,792.40","2,902.60","2,754.60",,1.83%,1.12K
196,"Sep 17, 2021",2788.70,"2,967.70","2,993.00","2,756.10",,-6.01%,4.13K
197,"Sep 16, 2021",2966.90,"3,059.60","3,165.50","2,914.60",,-3.08%,3.55K
198,"Sep 15, 2021",3061.10,"2,923.10","3,077.00","2,825.90",,4.85%,3.40K
