,Date,Price,Open,High,Low,Vol.,Change %,Vol
48,"Feb 13, 2022",4.0330,4.1510,4.2450,3.9890,,-2.89%,2.45M
49,"Feb 12, 2022",4.1530,4.0930,4.2720,4.0220,,1.49%,3.20M
50,"Feb 11, 2022",4.0920,4.4050,4.5100,4.0370,,-7.15%,4.85M
51,"Feb 10, 2022",4.4070,4.7550,4.8350,4.3770,,-7.34%,6.48M
52,"Feb 09, 2022",4.7560,4.6460,4.7850,4.5480,,2.39%,4.44M
53,"Feb 08, 2022",4.6450,4.9630,5.0830,4.5150,,-6.28%,7.92M
54,"Feb 07, 2022",4.9560,4.8040,4.9640,4.6650,,3.31%,7.47M
55,"Feb 06, 2022",4.7970,4.6860,4.8090,4.4780,,2.48%,4.39M
56,"Feb 05, 2022",4.6810,4.4620,4.8960,4.4250,,5.03%,7.87M
57,"Feb 04, 2022",4.4570,4.0900,4.4680,4.0360,,8.79%,5.61M
58,"Feb 03, 2022",4.0970,4.0820,4.1340,3.9340,,0.32%,3.53M
59,"Feb 02, 2022",4.0840,4.3530,4.4420,4.0500,,-6.09%,5.99M
60,"Feb 01, 2022",4.3490,4.2180,4.4900,4.2040,,3.03%,5.65M
61,"Jan 31, 2022",4.2210,4.0860,4.3110,3.8720,,3.30%,5.54M
62,"Jan 30, 2022",4.0860,4.1890,4.3330,4.0050,,-2.30%,4.53M
63,"Jan 29, 2022",4.1820,4.1560,4.3110,4.1100,,0.55%,5.31M
64,"Jan 28, 2022",4.1590,4.0540,4.2040,3.9330,,2.74%,6.31M
65,"Jan 27, 2022",4.0480,4.2530,4.2850,3.8590,,-4.75%,8.54M
66,"Jan 26, 2022",4.2500,4.5490,4.8070,4.1150,,-6.41%,11.59M
67,"Jan 25, 2022",4.5410,4.3960,4.6520,4.2640,,3.09%,5.59M
68,"Jan 24, 2022",4.4050,4.6510,4.6510,3.8070,,-5.25%,9.82M
69,"Jan 23, 2022",4.6490,4.4120,4.7800,4.3120,,5.37%,7.88M
70,"Jan 22, 2022",4.4120,4.9490,5.0920,4.0290,,-10.90%,13.48M
71,"Jan 21, 2022",4.9520,5.8050,5.9230,4.8170,,-14.94%,10.80M
72,"Jan 20, 2022",5.8220,6.0540,6.5900,5.7700,,-3.64%,6.66M
73,"Jan 19, 2022",6.0420,6.2090,6.2430,5.9170,,-2.75%,5.09M
74,"Jan 18, 2022",6.2130,6.4340,6.5700,6.0150,,-3.55%,4.07M
75,"Jan 17, 2022",6.4420,6.9730,6.9790,6.3210,,-7.46%,4.92M
76,"Jan 16, 2022",6.9610,7.0200,7.0890,6.8580,,-0.93%,3.48M
77,"Jan 15, 2022",7.0260,7.0230,7.2230,6.9840,,0.10%,3.54M
78,"Jan 14, 2022",7.0190,7.0290,7.3510,6.7310,,-0.06%,6.16M
79,"Jan 13, 2022",7.0230,7.0950,7.5480,6.8380,,-1.21%,9.94M
80,"Jan 12, 2022",7.1090,6.9950,7.2790,6.9380,,1.70%,7.83M
81,"Jan 11, 2022",6.9900,6.5850,7.1110,6.4770,,6.33%,6.51M
82,"Jan 10, 2022",6.5740,6.9090,7.1990,6.2390,,-5.34%,8.05M
83,"Jan 09, 2022",6.9450,6.5610,7.1910,6.5300,,5.74%,6.50M
84,"Jan 08, 2022",6.5680,7.1810,7.2890,6.3180,,-8.31%,7.44M
85,"Jan 07, 2022",7.1630,7.4390,7.4660,6.4180,,-3.79%,14.87M
86,"Jan 06, 2022",7.4450,7.6390,7.8390,7.1210,,-2.63%,9.11M
87,"Jan 05, 2022",7.6460,8.0800,9.0300,7.2510,,-5.34%,16.54M
88,"Jan 04, 2022",8.0770,8.5160,8.7650,7.9870,,-5.11%,14.34M
89,"Jan 03, 2022",8.5120,8.9470,9.4450,8.4510,,-4.71%,9.99M
90,"Jan 02, 2022",8.9330,9.1190,9.3660,8.8400,,-2.23%,6.58M
91,"Jan 01, 2022",9.1370,9.4450,9.4920,9.0310,,-3.13%,8.18M
92,"Dec 31, 2021",9.4320,10.2560,10.3970,9.3570,,-7.88%,12.56M
93,"Dec 30, 2021",10.2390,9.3110,10.6010,8.8000,,10.67%,18.61M
94,"Dec 29, 2021",9.2520,9.0570,9.9310,8.7810,,2.52%,19.82M
95,"Dec 28, 2021",9.0250,9.1490,9.7760,8.4420,,-1.24%,30.12M
96,"Dec 27, 2021",9.1380,7.9270,9.5600,7.6130,,15.28%,17.24M
97,"Dec 26, 2021",7.9270,7.6520,7.9690,7.1560,,4.08%,7.82M
98,"Dec 25, 2021",7.6160,7.9240,8.1310,7.2330,,-4.29%,10.38M
99,"Dec 24, 2021",7.9570,7.3050,7.9950,7.0670,,8.96%,13.83M
100,"Dec 23, 2021",7.3030,6.3650,7.4820,6.2310,,14.47%,18.56M
101,"Dec 22, 2021",6.3800,5.8420,6.5070,5.6120,,9.12%,9.44M
102,"Dec 21, 2021",5.8470,5.4760,5.8470,5.3340,,7.25%,5.87M
103,"Dec 20, 2021",5.4520,5.3280,5.5250,5.0850,,2.37%,4.74M
104,"Dec 19, 2021",5.3260,5.6010,5.6320,5.3070,,-4.96%,5.83M
105,"Dec 18, 2021",5.6040,5.5080,5.8600,5.4570,,1.65%,7.79M
106,"Dec 17, 2021",5.5130,5.6910,5.8360,5.3600,,-3.16%,7.72M
107,"Dec 16, 2021",5.6930,5.9470,6.2000,5.6590,,-4.16%,8.88M
108,"Dec 15, 2021",5.9400,5.7420,6.1540,5.6010,,3.54%,12.28M
109,"Dec 14, 2021",5.7370,5.6370,5.9200,5.3620,,1.88%,13.73M
110,"Dec 13, 2021",5.6310,5.5800,6.3270,5.2740,,0.84%,30.06M
111,"Dec 12, 2021",5.5840,5.7300,5.7300,5.3470,,-2.36%,4.46M
112,"Dec 11, 2021",5.7190,5.0800,5.7680,5.0070,,12.47%,8.95M
113,"Dec 10, 2021",5.0850,5.5230,5.6940,5.0690,,-7.75%,8.29M
114,"Dec 09, 2021",5.5120,6.6310,6.6340,5.4210,,-16.71%,9.15M
115,"Dec 08, 2021",6.6180,5.8660,6.8990,5.6460,,12.90%,14.10M
116,"Dec 07, 2021",5.8620,6.3080,6.4300,5.7940,,-7.29%,9.07M
117,"Dec 06, 2021",6.3230,5.2760,6.4710,4.8000,,19.89%,14.84M
118,"Dec 05, 2021",5.2740,5.8270,5.9680,5.0820,,-9.78%,7.14M
119,"Dec 04, 2021",5.8460,6.8360,6.8710,4.4620,,-14.64%,20.20M
120,"Dec 03, 2021",6.8490,7.3630,7.4770,6.6190,,-7.13%,5.19M
121,"Dec 02, 2021",7.3750,7.5530,7.6120,7.1920,,-2.37%,5.51M
122,"Dec 01, 2021",7.5540,8.0060,8.1710,7.5190,,-6.08%,6.57M
123,"Nov 30, 2021",8.0430,7.4650,8.0430,7.1840,,7.76%,8.00M
124,"Nov 29, 2021",7.4640,7.9440,8.1470,7.4480,,-6.05%,8.70M
125,"Nov 28, 2021",7.9450,7.0500,8.0330,6.6780,,12.62%,10.36M
126,"Nov 27, 2021",7.0550,7.0300,7.3340,6.9610,,0.87%,4.35M
127,"Nov 26, 2021",6.9940,8.2020,8.4080,6.8750,,-14.60%,11.25M
128,"Nov 25, 2021",8.1900,7.9500,8.4100,7.6600,,2.82%,7.16M
129,"Nov 24, 2021",7.9650,8.3750,8.4620,7.8270,,-4.79%,4.70M
130,"Nov 23, 2021",8.3660,8.2300,8.6540,8.1510,,1.70%,4.61M
131,"Nov 22, 2021",8.2260,8.7630,8.7630,8.1270,,-5.88%,5.67M
132,"Nov 21, 2021",8.7400,9.0490,9.1640,8.6820,,-3.37%,4.21M
133,"Nov 20, 2021",9.0450,8.9990,9.2330,8.7060,,0.49%,3.94M
134,"Nov 19, 2021",9.0010,8.7910,9.3290,8.6400,,2.34%,4.07M
135,"Nov 18, 2021",8.7950,9.7450,10.1340,8.6340,,-9.74%,8.82M
136,"Nov 17, 2021",9.7440,9.6520,10.0780,9.5160,,1.03%,3.15M
137,"Nov 16, 2021",9.6450,10.3400,10.3400,9.1370,,-6.72%,5.45M
138,"Nov 15, 2021",10.3400,11.0520,11.2090,10.3270,,-6.42%,3.53M
139,"Nov 14, 2021",11.0490,11.1840,11.2990,10.7800,,-1.22%,1.28M
140,"Nov 13, 2021",11.1860,10.9780,11.2230,10.7110,,1.89%,1.91M
141,"Nov 12, 2021",10.9790,11.1400,11.3800,10.5660,,-1.46%,2.68M
142,"Nov 11, 2021",11.1420,11.0820,11.4070,10.9180,,0.22%,2.91M
143,"Nov 10, 2021",11.1180,11.9780,12.2620,10.5070,,-7.13%,5.64M
144,"Nov 09, 2021",11.9710,12.3020,12.4390,11.9600,,-2.71%,2.98M
145,"Nov 08, 2021",12.3040,12.0940,12.3240,11.9470,,1.85%,2.78M
146,"Nov 07, 2021",12.0810,11.8450,12.2580,11.5530,,2.11%,3.42M
147,"Nov 06, 2021",11.8310,12.1350,12.2110,11.3100,,-2.58%,4.03M
148,"Nov 05, 2021",12.1440,12.9400,13.2150,12.1340,,-6.34%,3.06M
149,"Nov 04, 2021",12.9660,13.4370,13.4370,12.0640,,-3.40%,5.07M
150,"Nov 03, 2021",13.4230,12.1280,13.4390,11.8850,,10.72%,7.56M
151,"Nov 02, 2021",12.1230,12.7530,12.8080,12.0770,,-4.78%,5.26M
152,"Nov 01, 2021",12.7320,10.8950,13.0970,10.5620,,17.41%,11.97M
153,"Oct 31, 2021",10.8440,11.0730,11.2800,10.5810,,-1.90%,3.48M
154,"Oct 30, 2021",11.0540,11.4640,11.4670,10.8110,,-3.25%,2.68M
155,"Oct 29, 2021",11.4250,10.9720,11.7730,10.8750,,4.10%,4.17M
156,"Oct 28, 2021",10.9750,10.1500,10.9990,10.1020,,8.25%,5.09M
157,"Oct 27, 2021",10.1390,11.3820,12.2170,10.1390,,-10.85%,8.35M
158,"Oct 26, 2021",11.3730,10.7690,12.1520,10.7470,,5.61%,9.18M
159,"Oct 25, 2021",10.7690,10.5440,10.7700,10.4830,,2.23%,2.69M
160,"Oct 24, 2021",10.5340,10.9860,11.1390,10.2330,,-4.15%,4.38M
161,"Oct 23, 2021",10.9900,10.6900,11.0450,10.5300,,2.86%,3.37M
162,"Oct 22, 2021",10.6840,10.9110,11.3530,10.6050,,-1.91%,3.55M
163,"Oct 21, 2021",10.8920,11.5370,11.7110,10.8020,,-5.50%,4.58M
164,"Oct 20, 2021",11.5260,10.7220,11.5890,10.4790,,7.62%,4.18M
165,"Oct 19, 2021",10.7100,10.8000,11.0290,10.4750,,-0.91%,2.82M
166,"Oct 18, 2021",10.8080,11.1540,11.3370,10.7040,,-2.85%,2.55M
167,"Oct 17, 2021",11.1250,11.3990,11.7900,10.6900,,-2.17%,4.03M
168,"Oct 16, 2021",11.3720,11.0900,11.8760,10.8930,,2.61%,5.78M
169,"Oct 15, 2021",11.0830,10.7700,11.3360,10.3670,,3.07%,5.10M
170,"Oct 14, 2021",10.7530,10.2850,10.8350,10.1060,,4.58%,4.54M
171,"Oct 13, 2021",10.2820,10.0480,10.6510,9.7540,,2.37%,6.29M
172,"Oct 12, 2021",10.0440,10.3270,10.3400,9.6620,,-2.85%,2.83M
173,"Oct 11, 2021",10.3390,10.2470,10.8480,10.0000,,0.84%,2.93M
174,"Oct 10, 2021",10.2530,10.9490,11.0980,10.1930,,-6.25%,2.97M
175,"Oct 09, 2021",10.9360,10.7440,10.9740,10.5800,,2.12%,1.94M
176,"Oct 08, 2021",10.7090,10.7850,11.5130,10.6640,,-0.63%,4.92M
177,"Oct 07, 2021",10.7770,10.5340,11.0950,10.2370,,2.38%,4.00M
178,"Oct 06, 2021",10.5260,10.8430,10.9740,9.9000,,-3.13%,5.65M
179,"Oct 05, 2021",10.8660,10.3740,10.8660,10.2830,,4.91%,3.95M
180,"Oct 04, 2021",10.3570,10.8050,10.8120,10.0770,,-4.29%,4.03M
181,"Oct 03, 2021",10.8210,10.8900,11.1730,10.6540,,-0.67%,2.89M
182,"Oct 02, 2021",10.8940,10.8250,11.2980,10.5100,,0.63%,3.34M
183,"Oct 01, 2021",10.8260,10.1560,10.9630,10.0480,,6.47%,5.29M
184,"Sep 30, 2021",10.1680,9.5080,10.1680,9.4540,,7.11%,3.74M
185,"Sep 29, 2021",9.4930,9.6620,10.0800,9.2430,,-2.06%,4.76M
186,"Sep 28, 2021",9.6930,10.0080,10.3980,9.6260,,-3.13%,7.75M
187,"Sep 27, 2021",10.0060,11.3920,11.9530,9.9810,,-12.40%,11.42M
188,"Sep 26, 2021",11.4230,9.5050,11.5700,8.5090,,20.01%,17.86M
189,"Sep 25, 2021",9.5180,9.6690,9.8150,9.0800,,-1.57%,4.93M
190,"Sep 24, 2021",9.6700,10.6320,10.6440,8.9530,,-9.05%,8.27M
191,"Sep 23, 2021",10.6320,10.5130,10.8820,10.1230,,1.15%,6.51M
192,"Sep 22, 2021",10.5110,9.2310,10.6380,9.0670,,14.19%,6.17M
193,"Sep 21, 2021",9.2050,10.3190,10.8790,8.9460,,-10.92%,8.19M
