"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2021","11.0540","11.4640","11.4670","10.8110","2.68M","-3.25%"
"Oct 29, 2021","11.4250","10.9720","11.7730","10.8750","4.17M","4.10%"
"Oct 28, 2021","10.9750","10.1500","10.9990","10.1020","5.09M","8.25%"
"Oct 27, 2021","10.1390","11.3820","12.2170","10.1390","8.35M","-10.85%"
"Oct 26, 2021","11.3730","10.7690","12.1520","10.7470","9.18M","5.61%"
"Oct 25, 2021","10.7690","10.5440","10.7700","10.4830","2.69M","2.23%"
"Oct 24, 2021","10.5340","10.9860","11.1390","10.2330","4.38M","-4.15%"
"Oct 23, 2021","10.9900","10.6900","11.0450","10.5300","3.37M","2.86%"
"Oct 22, 2021","10.6840","10.9110","11.3530","10.6050","3.55M","-1.91%"
"Oct 21, 2021","10.8920","11.5370","11.7110","10.8020","4.58M","-5.50%"
"Oct 20, 2021","11.5260","10.7220","11.5890","10.4790","4.18M","7.62%"
"Oct 19, 2021","10.7100","10.8000","11.0290","10.4750","2.82M","-0.91%"
"Oct 18, 2021","10.8080","11.1540","11.3370","10.7040","2.55M","-2.85%"
"Oct 17, 2021","11.1250","11.3990","11.7900","10.6900","4.03M","-2.17%"
"Oct 16, 2021","11.3720","11.0900","11.8760","10.8930","5.78M","2.61%"
"Oct 15, 2021","11.0830","10.7700","11.3360","10.3670","5.10M","3.07%"
"Oct 14, 2021","10.7530","10.2850","10.8350","10.1060","4.54M","4.58%"
"Oct 13, 2021","10.2820","10.0480","10.6510","9.7540","6.29M","2.37%"
"Oct 12, 2021","10.0440","10.3270","10.3400","9.6620","2.83M","-2.85%"
"Oct 11, 2021","10.3390","10.2470","10.8480","10.0000","2.93M","0.84%"
"Oct 10, 2021","10.2530","10.9490","11.0980","10.1930","2.97M","-6.25%"
"Oct 09, 2021","10.9360","10.7440","10.9740","10.5800","1.94M","2.12%"
"Oct 08, 2021","10.7090","10.7850","11.5130","10.6640","4.92M","-0.63%"
"Oct 07, 2021","10.7770","10.5340","11.0950","10.2370","4.00M","2.38%"
"Oct 06, 2021","10.5260","10.8430","10.9740","9.9000","5.65M","-3.13%"
"Oct 05, 2021","10.8660","10.3740","10.8660","10.2830","3.95M","4.91%"
"Oct 04, 2021","10.3570","10.8050","10.8120","10.0770","4.03M","-4.29%"
"Oct 03, 2021","10.8210","10.8900","11.1730","10.6540","2.89M","-0.67%"
"Oct 02, 2021","10.8940","10.8250","11.2980","10.5100","3.34M","0.63%"
"Oct 01, 2021","10.8260","10.1560","10.9630","10.0480","5.29M","6.47%"
"Sep 30, 2021","10.1680","9.5080","10.1680","9.4540","3.74M","7.11%"
