,Date,Price,Open,High,Low,Vol.,Change %,Vol
135,"Nov 18, 2021",20.1100,21.8800,22.2400,19.6400,,-8.17%,2.18M
136,"Nov 17, 2021",21.9000,21.6800,21.9200,21.0600,,0.97%,1.68M
137,"Nov 16, 2021",21.6900,23.9800,23.9800,20.4300,,-9.62%,4.69M
138,"Nov 15, 2021",24.0000,24.5700,24.9800,23.8700,,-2.32%,1.96M
139,"Nov 14, 2021",24.5700,24.6600,24.9700,24.0200,,-0.36%,939.33K
140,"Nov 13, 2021",24.6600,24.5600,24.8000,24.1700,,0.37%,953.61K
141,"Nov 12, 2021",24.5700,25.3600,25.6900,23.8900,,-3.27%,1.83M
142,"Nov 11, 2021",25.4000,25.2600,26.1100,24.9200,,0.24%,1.89M
143,"Nov 10, 2021",25.3400,26.3700,28.4500,24.2200,,-3.83%,5.77M
144,"Nov 09, 2021",26.3500,26.2500,27.7500,26.0600,,0.38%,3.83M
145,"Nov 08, 2021",26.2500,25.3400,26.3500,25.2100,,3.80%,2.48M
146,"Nov 07, 2021",25.2900,25.1500,25.5000,24.9700,,0.56%,1.00M
147,"Nov 06, 2021",25.1500,25.5700,25.7900,24.4800,,-1.64%,1.36M
148,"Nov 05, 2021",25.5700,25.7200,26.0800,25.2600,,-0.78%,2.02M
149,"Nov 04, 2021",25.7700,26.9000,27.4600,25.2600,,-3.95%,2.79M
150,"Nov 03, 2021",26.8300,26.2000,27.0300,25.3900,,2.52%,2.81M
151,"Nov 02, 2021",26.1700,25.6200,26.3000,25.1400,,2.15%,1.53M
152,"Nov 01, 2021",25.6200,25.0200,26.4600,24.1600,,2.52%,2.19M
153,"Oct 31, 2021",24.9900,24.9200,25.2600,24.0200,,0.40%,1.22M
154,"Oct 30, 2021",24.8900,25.5600,25.5600,24.4500,,-2.51%,1.13M
155,"Oct 29, 2021",25.5300,24.8700,25.7900,24.7000,,2.57%,1.61M
156,"Oct 28, 2021",24.8900,24.1600,25.3500,23.9600,,3.15%,2.60M
157,"Oct 27, 2021",24.1300,26.5500,28.3000,23.6800,,-9.18%,4.58M
158,"Oct 26, 2021",26.5700,26.7600,28.2700,26.1600,,-0.60%,3.64M
159,"Oct 25, 2021",26.7300,25.8200,26.7300,25.7000,,3.64%,1.27M
160,"Oct 24, 2021",25.7900,26.8500,27.2300,25.3800,,-3.95%,1.50M
161,"Oct 23, 2021",26.8500,25.6200,26.8700,25.2900,,4.76%,1.34M
162,"Oct 22, 2021",25.6300,26.1200,26.8600,25.3400,,-1.80%,1.45M
163,"Oct 21, 2021",26.1000,27.1200,27.7400,25.8500,,-3.76%,2.20M
164,"Oct 20, 2021",27.1200,26.0200,27.1200,25.5600,,4.19%,1.83M
165,"Oct 19, 2021",26.0300,25.6500,26.2900,25.2800,,1.44%,1.37M
166,"Oct 18, 2021",25.6600,25.9400,26.2400,24.8900,,-0.96%,1.47M
167,"Oct 17, 2021",25.9100,27.0600,27.1300,25.0400,,-4.14%,2.29M
168,"Oct 16, 2021",27.0300,25.8700,27.9100,25.7600,,4.40%,3.33M
169,"Oct 15, 2021",25.8900,26.5300,26.8500,25.4300,,-1.97%,3.09M
170,"Oct 14, 2021",26.4100,24.7000,26.4400,24.5400,,7.01%,3.40M
171,"Oct 13, 2021",24.6800,23.4600,25.7300,23.1900,,5.25%,5.58M
172,"Oct 12, 2021",23.4500,24.1500,24.1500,22.3000,,-2.98%,1.77M
173,"Oct 11, 2021",24.1700,24.1500,25.0600,23.5500,,0.00%,1.70M
174,"Oct 10, 2021",24.1700,25.1600,25.9800,24.1000,,-3.86%,2.05M
175,"Oct 09, 2021",25.1400,24.7900,25.6700,24.5600,,1.53%,1.34M
176,"Oct 08, 2021",24.7600,25.5100,26.0900,24.6400,,-2.90%,1.91M
177,"Oct 07, 2021",25.5000,25.2600,26.2600,24.5100,,1.03%,2.19M
178,"Oct 06, 2021",25.2400,25.6500,26.0100,23.8300,,-1.56%,2.40M
