,Date,Price,Open,High,Low,Vol.,Change %,Vol
46,"Feb 15, 2022",136.00,125.90,136.60,125.90,,7.85%,30.39K
47,"Feb 14, 2022",126.10,124.10,127.50,120.90,,1.53%,19.99K
48,"Feb 13, 2022",124.20,127.90,130.00,122.60,,-2.82%,18.62K
49,"Feb 12, 2022",127.80,125.60,131.10,122.70,,1.83%,34.01K
50,"Feb 11, 2022",125.50,133.20,137.70,123.20,,-5.78%,61.41K
51,"Feb 10, 2022",133.20,145.10,146.50,132.70,,-8.14%,83.40K
52,"Feb 09, 2022",145.00,147.00,148.40,140.70,,-1.29%,56.73K
53,"Feb 08, 2022",146.90,149.20,151.10,136.20,,-1.54%,93.21K
54,"Feb 07, 2022",149.20,141.00,149.30,136.40,,5.97%,65.62K
55,"Feb 06, 2022",140.80,136.40,143.00,133.90,,3.38%,53.38K
56,"Feb 05, 2022",136.20,135.20,142.20,132.40,,0.74%,75.41K
57,"Feb 04, 2022",135.20,124.70,135.30,123.90,,8.86%,60.10K
58,"Feb 03, 2022",124.20,119.50,124.90,117.00,,3.67%,34.14K
59,"Feb 02, 2022",119.80,126.00,131.20,119.30,,-4.92%,49.37K
60,"Feb 01, 2022",126.00,121.80,129.70,121.40,,3.45%,53.12K
61,"Jan 31, 2022",121.80,117.80,122.80,112.80,,3.48%,65.42K
62,"Jan 30, 2022",117.70,124.00,124.30,116.50,,-5.00%,50.78K
63,"Jan 29, 2022",123.90,122.50,126.50,121.90,,1.06%,48.38K
64,"Jan 28, 2022",122.60,123.30,125.80,118.60,,-0.49%,51.42K
65,"Jan 27, 2022",123.20,125.20,129.60,118.70,,-1.52%,52.10K
66,"Jan 26, 2022",125.10,126.90,136.30,122.80,,-1.18%,60.90K
67,"Jan 25, 2022",126.60,124.80,128.00,121.40,,1.61%,36.90K
68,"Jan 24, 2022",124.60,128.20,128.20,110.00,,-2.73%,81.91K
69,"Jan 23, 2022",128.10,122.90,130.80,121.40,,4.32%,46.71K
70,"Jan 22, 2022",122.80,139.00,141.60,110.90,,-11.78%,110.85K
71,"Jan 21, 2022",139.20,161.10,162.90,135.30,,-13.81%,71.28K
72,"Jan 20, 2022",161.50,168.30,177.20,160.60,,-3.87%,33.57K
73,"Jan 19, 2022",168.00,180.20,180.80,166.70,,-6.82%,48.01K
74,"Jan 18, 2022",180.30,181.50,183.70,173.50,,-0.66%,37.03K
75,"Jan 17, 2022",181.50,191.50,191.70,177.80,,-5.07%,37.39K
76,"Jan 16, 2022",191.20,190.40,192.30,186.80,,0.37%,28.70K
77,"Jan 15, 2022",190.50,190.70,199.30,189.20,,0.11%,20.83K
78,"Jan 14, 2022",190.30,186.60,193.10,182.80,,2.09%,27.78K
79,"Jan 13, 2022",186.40,196.60,202.20,186.10,,-5.19%,33.82K
80,"Jan 12, 2022",196.60,189.90,199.50,189.90,,3.53%,26.64K
81,"Jan 11, 2022",189.90,183.40,192.40,181.20,,3.54%,33.18K
82,"Jan 10, 2022",183.40,193.50,197.10,175.30,,-5.37%,61.53K
83,"Jan 09, 2022",193.80,188.10,200.40,186.60,,3.03%,38.98K
84,"Jan 08, 2022",188.10,194.60,198.50,181.10,,-3.14%,46.57K
85,"Jan 07, 2022",194.20,203.80,204.80,185.90,,-4.80%,67.76K
86,"Jan 06, 2022",204.00,203.90,205.90,192.00,,-0.10%,71.50K
87,"Jan 05, 2022",204.20,222.90,244.50,197.00,,-8.35%,123.82K
88,"Jan 04, 2022",222.80,220.90,236.50,214.40,,1.18%,88.30K
89,"Jan 03, 2022",220.20,210.30,224.60,205.80,,4.66%,94.97K
90,"Jan 02, 2022",210.40,210.60,211.80,202.40,,0.00%,35.18K
91,"Jan 01, 2022",210.40,200.00,211.30,197.40,,5.36%,38.09K
92,"Dec 31, 2021",199.70,199.50,208.10,193.80,,0.10%,48.90K
93,"Dec 30, 2021",199.50,198.70,205.70,193.10,,0.66%,42.75K
94,"Dec 29, 2021",198.20,209.00,212.70,196.10,,-4.99%,57.71K
95,"Dec 28, 2021",208.60,236.10,236.10,208.60,,-11.65%,103.10K
96,"Dec 27, 2021",236.10,235.20,248.80,232.70,,0.73%,62.42K
97,"Dec 26, 2021",234.40,228.10,236.50,218.60,,2.94%,53.27K
98,"Dec 25, 2021",227.70,231.60,241.20,224.40,,-1.68%,45.02K
99,"Dec 24, 2021",231.60,230.10,238.40,222.60,,0.70%,65.66K
100,"Dec 23, 2021",230.00,207.10,238.30,201.60,,11.11%,109.93K
101,"Dec 22, 2021",207.00,194.90,210.70,193.60,,6.32%,48.88K
102,"Dec 21, 2021",194.70,189.10,195.00,186.60,,3.23%,43.25K
103,"Dec 20, 2021",188.60,194.60,197.50,181.60,,-3.18%,45.99K
104,"Dec 19, 2021",194.80,204.60,210.60,194.30,,-4.84%,48.87K
105,"Dec 18, 2021",204.70,212.80,216.00,201.90,,-3.99%,107.36K
106,"Dec 17, 2021",213.20,187.20,213.70,178.20,,13.89%,80.94K
107,"Dec 16, 2021",187.20,191.60,198.10,186.50,,-2.30%,44.68K
108,"Dec 15, 2021",191.60,186.40,197.70,175.00,,2.79%,50.34K
109,"Dec 14, 2021",186.40,180.80,190.50,177.30,,3.04%,45.44K
110,"Dec 13, 2021",180.90,198.40,200.60,175.40,,-8.91%,70.98K
111,"Dec 12, 2021",198.60,196.50,201.70,190.00,,1.33%,32.65K
112,"Dec 11, 2021",196.00,182.70,196.90,180.60,,7.34%,33.28K
113,"Dec 10, 2021",182.60,192.90,202.70,182.40,,-5.19%,67.25K
114,"Dec 09, 2021",192.60,219.80,220.80,192.60,,-12.33%,148.83K
115,"Dec 08, 2021",219.70,223.60,228.20,212.60,,-1.66%,59.41K
116,"Dec 07, 2021",223.40,222.90,230.60,219.50,,0.00%,33.23K
117,"Dec 06, 2021",223.40,211.60,226.60,193.20,,5.68%,59.62K
118,"Dec 05, 2021",211.40,221.00,225.60,205.30,,-4.52%,41.72K
119,"Dec 04, 2021",221.40,254.10,254.80,185.20,,-13.01%,96.13K
120,"Dec 03, 2021",254.50,270.30,275.40,247.20,,-5.85%,29.94K
121,"Dec 02, 2021",270.30,272.10,274.40,264.30,,-0.66%,20.08K
122,"Dec 01, 2021",272.10,278.40,286.50,267.90,,-2.26%,28.49K
123,"Nov 30, 2021",278.40,289.40,296.80,277.30,,-3.77%,34.40K
124,"Nov 29, 2021",289.30,287.40,291.10,280.60,,0.73%,31.88K
125,"Nov 28, 2021",287.20,270.00,287.80,260.30,,6.37%,58.05K
126,"Nov 27, 2021",270.00,261.80,275.80,260.90,,3.69%,34.29K
127,"Nov 26, 2021",260.40,288.40,289.30,243.50,,-9.55%,82.29K
